endereço,bairros,área m²,quartos,garagem,tipo,aluguel,total,bairros_original,id_distrito
Rua Doutor Guilherme Cristofel,santana,150,3,4,Apartamento,3300,6594,Santana,915
Rua Alice Blanche,lauzane paulista,220,3,2,Casa,4500,4925,Lauzane Paulista,1070
Praça Silveiras,vila pauliceia,120,2,2,Apartamento,6700,7924,Vila Paulicéia,1027
Rua João Vaz,parque mandaqui,530,3,2,Casa,6000,6917,Parque Mandaqui,1154
Rua Pedro Cacunda,jardim sao paulo,126,3,1,Casa,3500,3848,Jardim São Paulo(zona Norte),1069
Rua João de Laet,vila aurora,460,5,2,Casa,4000,4904,Vila Aurora (zona Norte),1070
Rua Macaiá-mirim,santana,110,3,2,Apartamento,2950,5094,Santana,915
Rua Manuel da Cunha,vila pauliceia,250,3,5,Casa,5000,5212,Vila Pauliceia,1027
Rua Santo Adriano,jardim peri,370,3,3,Casa,3940,4858,Jardim Peri,1070
Rua Doutor Rubens Meireles,varzea da barra funda,96,2,2,Apartamento,5300,6549,Várzea da Barra Funda,1151
Rua Antônio Domingues de Carvalho,parada inglesa,76,3,2,Apartamento,2830,3986,Parada Inglesa,1069
Rua Cezar Zama,santana,160,3,2,Apartamento,5000,7871,Santana,915
Rua Maria do Carmo Sene,vila pauliceia,250,3,4,Apartamento,5000,8689,Vila Paulicéia,1027
Rua Dona Martinha,santa teresinha,115,3,3,Apartamento,6900,9750,Santa Teresinha,1154
Avenida Nova Cantareira,tucuruvi,110,3,1,Apartamento,3230,4666,Tucuruvi,1069
Rua Voluntários da Pátria,santana,330,4,4,Apartamento,8000,12300,Santana,915
Avenida Leôncio de Magalhães,jardim sao paulo,110,3,1,Casa,3500,4290,Jardim São Paulo,1069
Rua Atalanta,jardim sao paulo,120,2,2,Casa,3500,3915,Jardim São Paulo(zona Norte),1069
Rua George Oetterer,vila pauliceia,240,3,3,Casa,6420,7269,Vila Pauliceia,1027
"R. Nossa Sra. Operária, 286 - Vila Guilherme, São Paulo - Sp, 02060-010, Brasil",vila guilherme,125,3,0,Casa,12660,13200,Vila Guilherme,915
Rua Conselheiro Moreira de Barros,santana,328,3,4,Apartamento,11000,14560,Santana,915
Rua Gomes Leal,vila dionisia,90,3,2,Casa,2000,2085,Vila Dionisia,1022
Avenida Miguel Yunes,usina piratininga,48,2,1,Apartamento,1800,2169,Usina Piratininga,1268
Avenida Miguel Yunes,usina piratininga,70,2,2,Apartamento,2700,3406,Usina Piratininga,1268
Avenida Gregório Bezerra,jardim primavera,75,2,1,Apartamento,2400,3193,Jardim Primavera (zona Sul),1269
Rua Manuel Cueva,jardim satelite,133,2,2,Casa,3100,3324,Jardim Satelite,1019
Avenida Miguel Yunes,usina piratininga,42,2,0,Apartamento,1550,1863,Usina Piratininga,1268
Rua Hafiz,jardim palmares,250,3,2,Casa,4600,5016,Jardim Palmares (zona Sul),1020
Rua Jaime Rodrigues,jardim sabara,30,1,0,Studio e kitnet,1150,1165,Jardim Sabara,1268
Rua Canuto Borelli,vila castelo,60,2,1,Apartamento,2950,3588,Vila Castelo,1019
Rua Antônio Covello,jabaquara,130,3,2,Apartamento,3800,6072,Jabaquara,1073
Rua Manuel Figueiredo Landim,jardim campo grande,133,2,2,Apartamento,6000,7654,Jardim Campo Grande,901
Avenida Interlagos,jardim umuarama,140,4,2,Casa em condomínio,4990,6039,Jardim Umuarama,1071
Rua Curiá,jardim sabara,58,2,1,Apartamento,3500,4145,Jardim Sabara,1268
Rua Pedro Machado de Mello,interlagos,140,3,2,Casa,2978,3105,Interlagos,1019
Rua Djalma Pessolato,interlagos,56,2,1,Apartamento,2800,3653,Interlagos,1019
Rua Arlindo Alberto,jardim palmares,40,2,0,Casa,1350,1373,Jardim Palmares (zona Sul),1020
Rua Paulo Izzo,jardim alzira,160,4,3,Casa,4800,5004,Jardim Alzira,1148
Praça Almirante Pena Botto,jardim satelite,50,2,1,Apartamento,1500,1958,Jardim Satelite,1019
Rua Curiá,jardim sabara,60,2,1,Apartamento,1600,2076,Jardim Sabara,1268
Rua Borba Gato,santo amaro,102,4,2,Apartamento,4300,5602,Santo Amaro,1265
Rua Professora Haidée Silva Martins,jardim campo grande,325,4,2,Casa,8000,8340,Jardim Campo Grande,901
Rua Francisco Credentino,jardim satelite,200,1,4,Casa,2500,2716,Jardim Satelite,1019
Avenida Interlagos,jardim umuarama,96,2,2,Apartamento,3850,5132,Jardim Umuarama,1071
Rua Promotor Gabriel Nettuzzi Perez,santo amaro,120,3,1,Apartamento,3000,4491,Santo Amaro,1265
Rua Lauzane,capela do socorro,180,3,1,Casa,2800,2919,Capela do Socorro,1149
Travessa Ferdinando Vaders,vila campo grande,140,3,2,Casa,3200,3335,Vila Campo Grande,1024
Rua João Rafael Jafet,interlagos,106,2,1,Casa,2600,2710,Interlagos,1019
Rua Sócrates,campo grande,92,2,1,Apartamento,6000,7081,Campo Grande,901
Rua Elias Antônio Zogbi,santo amaro,85,3,1,Apartamento,5500,6680,Santo Amaro,1265
Rua Lauzane,capela do socorro,48,2,1,Apartamento,1500,2158,Capela do Socorro,1149
Rua Céu Tropical,jabaquara,200,3,2,Casa,4800,4880,Jabaquara,1073
Rua Francisco Barbosa Lima,jardim ernestina,230,3,2,Casa,3300,3536,Jardim Ernestina,1019
Rua Diogo de Oliveira Neves,terceira divisao de interlagos,250,3,1,Casa,1850,2058,Terceira Divisão de Interlagos,1019
Rua Francisco Pais,jardim ipanema,290,3,4,Casa,9380,9869,Jardim Ipanema (zona Sul),1019
Rua Herbert Frazer,interlagos,55,2,1,Apartamento,2200,2773,Interlagos,1019
Avenida Miguel Yunes,usina piratininga,75,3,2,Apartamento,3300,3902,Usina Piratininga,1268
Rua Ângelo Sangirardi,jardim palmares,112,3,1,Casa,2950,3075,Jardim Palmares (zona Sul),1020
Avenida Senador Teotônio Vilela,cidade dutra,44,1,0,Apartamento,1100,1482,Cidade Dutra,1019
Rua Luísa Bocchiglieri Ximenes,jardim santa cruz,270,4,2,Casa,8270,8871,Jardim Santa Cruz (campo Grande),1148
Rua Manuel Cueva,jardim satelite,30,1,0,Casa,1070,1115,Jardim Satelite,1019
Rua Joana Avancini Prado,jardim lallo,46,2,0,Apartamento,1450,1626,Jardim Lallo,1268
Avenida Miguel Yunes,usina piratininga,44,2,1,Apartamento,2238,2700,Usina Piratininga,1268
Rua Séttimo Giannini,jardim lallo,30,1,1,Studio e kitnet,1100,1142,Jardim Lallo,1268
Rua Oscár Fernandes,vila california,96,3,2,Casa,2830,2950,Vila California,988
Rua Álvaro Afonso,vila gea,200,2,1,Casa,2900,3198,Vila Gea,1019
Avenida Interlagos,interlagos,70,3,1,Apartamento,1700,2766,Interlagos,1019
Rua João da Rocha,jardim consorcio,196,3,2,Casa,3300,3652,Jardim Consorcio,1268
Rua Arapés,jardim sabara,150,3,2,Casa,3500,3776,Jardim Sabara,1268
Rua Luís Carlos Paraná,jardim cidalia,65,2,0,Apartamento,2400,2431,Jardim Cidalia,1024
Rua David Eid,vila do castelo,81,3,2,Apartamento,2400,3190,Vila do Castelo,1019
Avenida Miguel Yunes,usina piratininga,72,3,2,Apartamento,3000,3847,Usina Piratininga,1268
Rua Andaquara,vila anhanguera,147,3,2,Casa,4990,5253,Vila Anhanguera,1268
Rua João Ferreira de Abreu,vila arriete,50,2,1,Apartamento,1500,2058,Vila Arriete,1019
Rua Artur Tescaro,santo amaro,110,2,1,Casa,2700,2814,Santo Amaro,1265
Rua Pereira Barreto,santo amaro,108,3,2,Apartamento,5500,7547,Santo Amaro,1265
Avenida Rubens Montanaro de Borba,jardim regis,150,3,3,Casa,3639,3794,Jardim Regis,1019
Rua Juari,jardim sabara,110,3,1,Casa,3300,3515,Jardim Sabará,1268
Avenida Interlagos,jardim umuarama,74,3,2,Apartamento,5000,5193,Jardim Umuarama,1071
Rua Olavo Bilac,vila sofia,78,2,1,Apartamento,2500,3491,Vila Sofia,1265
Rua Sócrates,vila sofia,90,1,2,Apartamento,4750,6717,Vila Sofia,1265
Rua Galeno de Castro,jurubatuba,90,1,0,Casa,1721,1997,Jurubatuba,1265
Rua Joana Avancini Prado,jardim lallo,130,3,3,Casa,2600,2710,Jardim Lallo,1268
Rua Nova Fátima,jardim jua,140,3,1,Casa,8750,9142,Jardim Jua,1268
Avenida Sílvio Sciumbata,interlagos,350,4,3,Casa,10000,11680,Interlagos,1019
Rua Pereira Barreto,santo amaro,66,2,1,Apartamento,5000,6066,Santo Amaro,1265
Avenida Sargento Geraldo Sant’ana,jardim taquaral,30,2,1,Apartamento,2200,3001,Jardim Taquaral,1268
Rua Manuel Figueiredo Landim,jardim campo grande,163,3,3,Apartamento,7000,9282,Jardim Campo Grande,901
Rua Irineu Correia da Silva,jardim satelite,161,3,2,Casa,3100,3317,Jardim Satelite,1019
Rua Pacaraima,cidade dutra,80,2,2,Casa,2910,3034,Cidade Dutra,1019
Rua Luís Schmidt Júnior,interlagos,550,4,5,Casa,15000,16960,Interlagos,1019
Rua Marfim,jardim santa cruz,80,2,0,Casa,1450,1605,Jardim Santa Cruz (campo Grande),1148
Rua Alexandre Jorge da Cruz,jardim campo grande,220,3,3,Casa,6755,7786,Jardim Campo Grande,901
Rua Alceu Antônio da Luz,jardim campo grande,380,5,2,Casa em condomínio,8100,9652,Jardim Campo Grande,901
Rua Andaquara,vila anhanguera,229,3,2,Casa,12500,13120,Vila Anhangüera,1268
Passagem Breno Caldas,vila campo grande,130,2,1,Casa,3000,3127,Vila Campo Grande,1024
Rua Marfim,jardim santa cruz,89,3,2,Apartamento,4000,5048,Jardim Santa Cruz (campo Grande),1148
Avenida Yervant Kissajikian,vila constanca,68,2,1,Apartamento,2800,3307,Vila Constança,1024
Rua Sócrates,vila sofia,147,5,3,Apartamento,4650,7634,Vila Sofia,1265
Avenida Interlagos,jardim umuarama,72,3,2,Apartamento,3450,4386,Jardim Umuarama,1071
Rua José Rafaeli,socorro,80,3,1,Apartamento,2125,2948,Socorro,1268
Avenida Interlagos,jardim umuarama,94,3,2,Casa em condomínio,4200,5195,Jardim Umuarama,1071
Rua Agostinho Gualda Martin,jardim jua,185,3,2,Casa,5000,5421,Jardim Jua,1268
Rua Maria Pais de Barros,vila marari,130,2,2,Casa,2730,2924,Vila Marari,1024
"Av. Washington Luis, 1226",jardim marajoara,78,3,2,Apartamento,2660,4032,Jardim Marajoara,901
Rua Joaquim Carlos Klein,vila santana,64,3,1,Apartamento,1657,2530,Vila Santana,1265
Rua Professor Augusto Mondin,jardim santa cruz,90,1,0,Casa,1200,1281,Jardim Santa Cruz (campo Grande),1148
Avenida Leblon,jardim dos lagos,220,3,4,Casa,6780,7393,Jardim dos Lagos,1269
Rua Antônio Covello,jabaquara,175,3,2,Apartamento,8000,10480,Jabaquara,1073
Rua Alessandro Manzoni,vila arriete,60,1,0,Apartamento,2000,2407,Vila Arriete,1019
Alameda Afonso Bocchiglieri,vila arriete,240,3,2,Casa,5500,5967,Vila Arriete,1019
Rua Baltazar Soares,cidade dutra,200,3,2,Casa,6350,6871,Cidade Dutra,1019
Rua Conde Luiz Zunta,jardim santa cruz,250,3,3,Casa,2700,2898,Jardim Santa Cruz (campo Grande),1148
Avenida Miguel Yunes,usina piratininga,62,2,1,Apartamento,2950,3549,Usina Piratininga,1268
Avenida Assaré,campo grande,250,3,6,Casa,5000,5083,Campo Grande,901
Rua Professor José Ferraz de Arruda Júnior,interlagos,300,3,4,Casa,5000,5133,Interlagos,1019
Rua Padre Chico,santo amaro,180,4,4,Casa,7000,7158,Santo Amaro,1265
Rua Manuel Vaz,jardim consorcio,240,5,2,Casa,7000,7756,Jardim Consorcio,1268
Rua Cambuci do Vale,cidade dutra,189,4,2,Apartamento,8600,10580,Cidade Dutra,1019
Avenida Feliciano Correia,jardim satelite,184,2,2,Casa,2800,3172,Jardim Satelite,1019
Rua Realismo,cidade ademar,150,2,6,Casa,3287,3427,Cidade Ademar,1024
Rua Constantino Sérgio,jardim palmares,80,2,0,Casa,1365,1438,Jardim Palmares (zona Sul),1020
Avenida Cupecê,jardim prudencia,55,2,1,Apartamento,1600,2426,Jardim Prudência,901
R. Justino Nigro,interlagos,133,3,2,Casa,5000,5224,Interlagos,1019
Avenida Yervant Kissajikian,americanopolis,90,2,0,Casa,2070,2105,Americanópolis,1073
Avenida Francisco de Carvalho,jardim ipanema,80,3,1,Casa,6000,6880,Jardim Ipanema (zona Sul),1019
Avenida Francisco de Carvalho,jardim ipanema,280,4,4,Casa,8000,8732,Jardim Ipanema (zona Sul),1019
Igati,vila anhanguera,91,2,1,Casa,3700,3808,Vila Anhangüera,1268
Rua João Roschel Gottsfritz,jardim regis,56,2,1,Apartamento,1800,2109,Jardim Regis,1019
Avenida Engenheiro Eusébio Stevaux,jurubatuba,137,4,3,Apartamento,9000,10390,Jurubatuba,1265
Rua Marfim,jardim santa cruz,90,3,2,Casa em condomínio,3170,3534,Jardim Santa Cruz (campo Grande),1148
Avenida Sargento Geraldo Sant’ana,jardim taquaral,95,3,2,Apartamento,4900,6276,Jardim Taquaral,1268
Rua José Zeferino Peixoto,jardim luanda,100,3,2,Casa,5000,5312,Jardim Luanda,1071
Avenida Engenheiro José Salles,socorro,72,3,1,Apartamento,3416,4325,Socorro,1268
Rua Rosária Musarra,vila california,150,3,2,Casa,4500,4900,Vila California(zona Sul),988
Rua Zike Tuma,jardim ubirajara,50,1,0,Casa,935,975,Jardim Ubirajara,902
Rua Zike Tuma,jardim ubirajara,55,1,0,Casa,722,752,Jardim Ubirajara,902
Rua Cenerino Branco de Araújo,vila campo grande,140,2,2,Casa,2800,3019,Vila Campo Grande,1024
Rua Manuel Vaz,jardim consorcio,90,2,1,Casa em condomínio,4250,4755,Jardim Consórcio,1268
Rua Antônio Fóster,vila socorro,20,1,0,Studio e kitnet,970,1308,Vila Socorro,1265
Rua Antônio Fóster,vila socorro,40,1,0,Studio e kitnet,1260,1608,Vila Socorro,1265
Rua José Maria de Abreu,jardim palmares,145,2,2,Casa,4500,4691,Jardim Palmares (zona Sul),1020
Rua Vicentina Gomes,vila campo grande,94,3,2,Apartamento,5700,7194,Vila Campo Grande,1024
Rua Leme do Prado,santo amaro,312,3,4,Apartamento,15000,21280,Santo Amaro,1265
Avenida Miguel Yunes,usina piratininga,74,2,2,Apartamento,3950,4612,Usina Piratininga,1268
Rua Professor Guilherme Belfort Sabino,campininha,239,3,2,Casa,3040,3578,Campininha,1268
Rua Alto Santa Maria,vila marari,200,3,5,Casa,3888,4257,Vila Marari,1024
Rua Alceu Antônio da Luz,jardim campo grande,190,5,2,Casa,5000,5812,Jardim Campo Grande,901
Rua Itapuí,vila arriete,49,1,0,Studio e kitnet,992,1139,Vila Arriete,1019
Rua Sócrates,vila sofia,204,3,4,Apartamento,11000,15000,Vila Sofia,1265
"Rua Antônio Gil - Cidade Ademar, São Paulo - Sp, Brasil",jardim marajoara,48,2,1,Apartamento,1560,2200,Jardim Marajoara ,901
Rua Savério Mercadante,vila do castelo,40,1,0,Casa,935,975,Vila do Castelo,1019
Rua Edson Regis,jardim guarapiranga,331,4,3,Casa,6470,7191,Jardim Guarapiranga,1019
Rua das Paineiras,jardim dos lagos,147,3,2,Casa,3280,3542,Jardim dos Lagos,1269
Rua Afonso Araújo Almeida,vila arriete,166,3,4,Casa,4836,5096,Vila Arriete,1019
Rua Santa Matilde,conjunto residencial jardim canaa,180,3,2,Casa,2700,3023,Conjunto Residencial Jardim Canaã,1022
Rua Joaquim Neves Monteiro,jardim ubirajara,118,3,2,Casa,2950,3075,Jardim Ubirajara,902
Rua Roger Chaffee,interlagos,408,4,4,Casa,6780,8027,Interlagos,1019
Rua Professor Campos de Oliveira,jardim taquaral,266,4,4,Apartamento,11250,14300,Jardim Taquaral,1268
Rua Faustino Augusto César,vila marari,202,4,3,Casa,3825,4165,Vila Marari,1024
Rua Paschoal Garófalo,vila california,204,3,2,Casa,3155,3302,Vila Califórnia(zona Sul),988
Avenida Assaré,jardim sabara,129,3,4,Casa,4500,4695,Jardim Sabará,1268
Rua da Matriz,santo amaro,92,2,0,Apartamento,1800,2417,Santo Amaro,1265
Alameda Santo Amaro,santo amaro,119,3,0,Apartamento,1920,2685,Santo Amaro,1265
Rua Maria Pais de Barros,vila marari,230,3,2,Casa,3200,3669,Vila Marari,1024
Rua Maestro Eduardo de Guarnieri,interlagos,215,2,2,Casa,8000,9424,Interlagos,1019
Avenida Nicolau Resende,jardim consorcio,188,3,2,Casa,3930,4284,Jardim Consórcio,1268
Rua Ernesto Biester,jardim cristal,125,3,2,Casa,2800,2919,Jardim Cristal,1268
Rua Professor Augusto Mondin,jardim santa cruz,90,2,1,Casa,1900,2021,Jardim Santa Cruz (campo Grande),1148
Rua Susana Rodrigues,santo amaro,62,2,0,Apartamento,1569,2096,Santo Amaro,1265
Rua Danaides,vila anhanguera,62,2,1,Apartamento,2500,3307,Vila Anhangüera,1268
Rua Galeno de Castro,jurubatuba,36,1,0,Apartamento,2650,3068,Jurubatuba,1265
Rua José da Fonseca Nadaes,jardim sabara,30,1,1,Studio e kitnet,1040,1080,Jardim Sabará,1268
Rua Carlos Luís da Silva,interlagos,350,3,4,Casa,6616,7702,Interlagos,1019
Rua Santa Gregória,cidade dutra,226,3,2,Casa,5250,5472,Cidade Dutra,1019
Rua Doutor Saulo de Castro Bicudo,jardim maria rita,200,3,4,Casa,4000,4200,Jardim Maria Rita,1019
Avenida Rio Bonito,socorro,55,2,1,Apartamento,1955,3140,Socorro,1268
Rua Iguatinga,santo amaro,18,1,0,Studio e kitnet,1300,1845,Santo Amaro,1265
Avenida Sargento Geraldo Sant'ana,jardim taquaral,126,2,2,Apartamento,6500,6585,Jardim Taquaral,1268
Avenida Interlagos,interlagos,150,3,2,Casa,3280,3626,Interlagos,1019
Rua Ermelinda Meletti Teldeschi,jardim guarapiranga,400,4,4,Casa,5500,6564,Jardim Guarapiranga,1019
Travessa Santa Filomena,vila campo grande,4,1,0,Casa,630,641,Vila Campo Grande,1024
Avenida João Batista Di Vitoriano,jardim consorcio,190,4,2,Casa,4500,4708,Jardim Consórcio,1268
Rua Pacheco Melo,vila do castelo,45,1,0,Apartamento,974,1212,Vila do Castelo,1019
Rua Gregório de Morais Rego,jardim consorcio,50,1,0,Casa,950,1040,Jardim Consórcio,1268
Rua Olívia Guedes Penteado,socorro,60,1,0,Studio e kitnet,1270,1409,Socorro,1268
Rua João de Seixas,campo grande,290,4,4,Casa,9000,9966,Campo Grande,901
Rua Otávio Rocha,vila campo grande,200,3,1,Casa,4375,4681,Vila Campo Grande,1024
Rua Baxiúva,jardim novo santo amaro,200,4,2,Casa,3740,4365,Jardim Novo Santo Amaro,1020
Rua José Fugulin,jardim santa cruz,250,3,3,Casa,3104,3251,Jardim Santa Cruz (campo Grande),1148
Rua José de Rezende Costa Filho,vila sao pedro,140,3,3,Casa,6400,6758,Vila São Pedro,1148
Rua Miguel Ribeiro,campo grande,141,3,2,Casa,3500,3698,Campo Grande,901
Rua Canuto Borelli,vila castelo,38,1,1,Apartamento,2600,3519,Vila Castelo,1019
Rua Engenheiro Domício de L. Pacheco E Silva,vila campo grande,172,3,4,Casa,3500,3841,Vila Campo Grande,1024
Rua Realismo,jardim cidalia,30,1,0,Casa,765,922,Jardim Cidália,1024
Alameda Santo Amaro,santo amaro,68,2,1,Apartamento,2000,2763,Santo Amaro,1265
Rua João Gomes Batista,jardim cidalia,64,2,2,Casa,2300,2489,Jardim Cidália,1024
Rua Virgil Grissom,interlagos,350,4,6,Casa,8625,9758,Interlagos,1019
Rua Dário da Silva,vila sao paulo,163,3,2,Casa,3290,3430,Vila Sao Paulo,901
Rua Arlindo Veiga dos Santos,parque residencial julia,82,3,1,Apartamento,2900,3903,Parque Residencial Julia,1019
Rua Sócrates,vila sofia,203,3,4,Apartamento,10000,14000,Vila Sofia,1265
Rua Justino Nigro,interlagos,250,4,2,Casa,4500,4900,Interlagos,1019
Avenida Interlagos,interlagos,110,4,2,Apartamento,2560,3997,Interlagos,1019
Rua João Ferreira de Abreu,vila arriete,180,3,2,Casa,5500,5750,Vila Arriete,1019
Avenida Padre José Maria,santo amaro,85,3,1,Apartamento,2910,3754,Santo Amaro,1265
Rua Duque Costa,vila sofia,98,3,2,Apartamento,5250,7159,Vila Sofia,1265
Rua Manuel Cueva,jardim satelite,28,1,0,Casa,950,990,Jardim Satelite,1019
Rua Professor Authos Pagano,alto da boa vista,250,3,2,Casa,5100,5537,Alto da Boa Vista,1265
Rua Karl Czernick,santo amaro,275,4,3,Casa,5330,6024,Santo Amaro,1265
Rua Igati,vila anhanguera,91,2,2,Casa,4000,4220,Vila Anhangüera,1268
Avenida Engenheiro Eusébio Stevaux,jurubatuba,136,4,2,Apartamento,5500,8248,Jurubatuba,1265
Rua Vicente Pereira de Assunção,vila constanca,36,1,0,Apartamento,1100,1196,Vila Constança,1024
Rua Alessandro Manzoni,campo grande,300,3,2,Casa,3360,3545,Campo Grande,901
Rua Luciano Felício Biondo,jardim cristal,104,2,2,Casa,4500,4691,Jardim Cristal,1268
Rua João Francisco de Moura,vila campo grande,72,2,1,Apartamento,1810,2764,Vila Campo Grande,1024
Avenida Inácio Cunha Leme,jardim ipanema,378,6,3,Casa,11250,12350,Jardim Ipanema (zona Sul),1019
Rua Orlando Pinto Ribeiro,vila campo grande,230,4,6,Casa,4500,5020,Vila Campo Grande,1024
Rua Capitão Fidélis,santo amaro,84,3,2,Apartamento,3880,4452,Santo Amaro,1265
Rua Guaiúba,cidade dutra,165,3,1,Casa,3215,3449,Cidade Dutra,1019
Rua Adília Mercado Madureira,vila marari,60,1,0,Casa,1722,1920,Vila Marari,1024
Rua João Scatamacchia,vila campo grande,342,5,4,Casa,8000,8990,Vila Campo Grande,1024
Rua Lourenço Nunes,vila marari,95,3,1,Casa,4400,4586,Vila Marari,1024
Rua Itapuí,vila arriete,29,1,0,Studio e kitnet,830,950,Vila Arriete,1019
Rua Leningrado,interlagos,290,5,4,Casa,10480,11390,Interlagos,1019
Rua Edson Regis,jardim guarapiranga,120,3,1,Casa,5000,5193,Jardim Guarapiranga,1019
Rua Aguaraiba,vila anhanguera,300,4,2,Casa,7500,7919,Vila Anhanguera,1268
Rua Darwin,jardim santo amaro,190,3,4,Casa,5250,5972,Jardim Santo Amaro,1265
Avenida Sargento Geraldo Sant’ana,jardim taquaral,200,2,6,Casa,4128,4395,Jardim Taquaral,1268
Rua José Abel Galvão,jardim regis,273,5,4,Casa,5600,6102,Jardim Regis,1019
Rua João Gomes Batista,jardim cidalia,300,3,2,Casa,4375,4561,Jardim Cidália,1024
Avenida João Peixoto Viegas,jardim consorcio,141,3,3,Apartamento,6800,8900,Jardim Consórcio,1268
Rua João Gomes Batista,jardim cidalia,70,3,0,Apartamento,2188,2497,Jardim Cidália,1024
Rua Marcílio Dias,socorro,66,2,1,Apartamento,6600,7454,Socorro,1268
Alameda Afonso Bocchiglieri,vila arriete,300,3,3,Casa,5600,5902,Vila Arriete,1019
Rua Luiz Prieto Roque,interlagos,174,3,3,Casa,7000,7306,Interlagos,1019
Avenida Engenheiro Alberto de Zagottis,jurubatuba,200,3,3,Apartamento,10000,12880,Jurubatuba,1265
Rua Edmundo Amaral Valente,parque munhoz,56,2,2,Apartamento,1500,2188,Parque Munhoz,1071
Rua Newton Prado,bom retiro,100,2,0,Apartamento,5000,5764,Bom Retiro,1246
Rua Haddock Lobo,consolacao,240,4,1,Apartamento,15000,19590,Consolação,1067
"Alameda Casa Branca - Jardim Paulista, São Paulo - Sp, Brasil",jardim paulista,112,3,1,Apartamento,3900,5950,Jardim Paulista,937
Rua Bela Cintra,consolacao,136,3,1,Apartamento,5000,7083,Consolação,1067
Rua da Consolação,cerqueira cesar,130,3,1,Apartamento,10000,13370,Cerqueira César,1067
Rua Haddock Lobo,cerqueira cesar,220,4,2,Apartamento,5500,9125,Cerqueira César,1067
Alameda Lorena,jardim paulista,165,3,2,Apartamento,8500,11480,Jardim Paulista,937
Rua Peixoto Gomide,jardim paulista,250,3,1,Apartamento,9500,12120,Jardim Paulista,937
Alameda Ministro Rocha Azevedo,cerqueira cesar,187,4,3,Apartamento,12000,17130,Cerqueira César,1067
Rua Bela Cintra,consolacao,189,3,1,Apartamento,15000,19440,Consolação,1067
Rua Novo Horizonte,higienopolis,536,4,6,Casa,15000,16970,Higienópolis,1067
Avenida Angélica,bela vista,68,2,1,Apartamento,2800,4162,Bela Vista,1410
Alameda Jaú,jardim paulista,107,3,1,Apartamento,6900,9022,Jardim Paulista,937
Rua Padre João Manuel,cerqueira cesar,160,3,1,Apartamento,10500,13590,Cerqueira César,1067
Rua Bela Cintra,consolacao,113,3,2,Apartamento,5700,7063,Consolação,1067
Avenida Angélica,consolacao,268,4,2,Apartamento,5800,8707,Consolação,1067
Rua Frei Caneca,consolacao,120,2,2,Apartamento,4200,5747,Consolação,1067
Rua Bela Cintra,consolacao,125,3,1,Apartamento,10000,12450,Consolação,1067
Rua Bela Cintra,consolacao,111,3,1,Apartamento,11340,13570,Consolação,1067
Rua Bela Cintra,consolacao,132,3,1,Apartamento,10960,13530,Consolação,1067
Alameda Itu,cerqueira cesar,175,3,1,Apartamento,5800,8759,Cerqueira César,1067
Alameda Tietê,jardim paulista,83,1,2,Apartamento,10000,12240,Jardim Paulista,937
Alameda Jaú,jardim paulista,152,4,2,Apartamento,13000,16300,Jardim Paulista,937
Rua Haddock Lobo,cerqueira cesar,128,2,0,Apartamento,8000,9622,Cerqueira César,1067
Alameda Itu,cerqueira cesar,100,1,1,Apartamento,3500,4677,Cerqueira César,1067
Rua Oscar Freire,cerqueira cesar,100,2,1,Apartamento,7000,8644,Cerqueira César,1067
Rua Haddock Lobo,jardim paulista,100,3,1,Apartamento,3900,6349,Jardim Paulista,937
Rua Minas Gerais,higienopolis,100,1,2,Apartamento,9000,13470,Higienópolis,1067
Rua Bela Cintra,consolacao,222,3,2,Apartamento,15000,20920,Consolação,1067
Rua Doutor Melo Alves,cerqueira cesar,100,2,1,Apartamento,7500,9244,Cerqueira César,1067
Rua Bela Cintra,consolacao,200,3,2,Apartamento,15000,21700,Consolação,1067
Rua Haddock Lobo,cerqueira cesar,238,4,1,Apartamento,11500,15430,Cerqueira César,1067
Rua Bela Cintra,consolacao,110,2,1,Apartamento,4100,5608,Consolação,1067
Alameda Casa Branca,jardim paulista,78,1,2,Apartamento,4280,5530,Jardim Paulista,937
Augusta,bela vista,100,2,2,Apartamento,13130,16390,Bela Vista,1410
Alameda Ministro Rocha Azevedo,cerqueira cesar,100,2,2,Apartamento,8000,11650,Cerqueira César,1067
Rua Haddock Lobo,cerqueira cesar,140,3,1,Apartamento,5500,7440,Cerqueira César,1067
Alameda Lorena,jardim paulista,92,2,1,Apartamento,5500,7045,Jardim Paulista,937
Rua da Consolação,cerqueira cesar,177,2,1,Apartamento,7000,10010,Cerqueira César,1067
Rua Catanduva,pacaembu,350,5,5,Casa,15000,18170,Pacaembu,1067
Rua da Consolação,cerqueira cesar,120,2,1,Apartamento,6800,8190,Cerqueira César,1067
Alameda Franca,cerqueira cesar,158,2,2,Apartamento,11630,16740,Cerqueira César,1067
Rua Antônio Carlos,consolacao,180,3,1,Apartamento,4300,6466,Consolação,1067
Rua Padre João Manuel,cerqueira cesar,205,3,2,Apartamento,10170,13150,Cerqueira César,1067
Rua Bela Cintra,consolacao,98,2,0,Apartamento,5000,6027,Consolação,1067
Rua Peixoto Gomide,jardim paulista,268,3,2,Apartamento,9700,14570,Jardim Paulista,937
Rua Vicente Felix,jardim paulista,110,2,2,Apartamento,6700,8862,Jardim Paulista,937
Rua Haddock Lobo,cerqueira cesar,180,4,1,Apartamento,5000,7110,Cerqueira César,1067
Alameda Itu,jardim paulista,239,3,2,Apartamento,10310,14320,Jardim Paulista,937
